,Date,Close
1546,2022-03-28,4.73
1547,2022-03-29,4.54
1548,2022-03-30,4.64
1549,2022-03-31,4.59
1550,2022-04-01,4.68
1551,2022-04-02,4.68
1552,2022-04-03,4.68
1553,2022-04-04,4.69
1554,2022-04-05,4.73
1555,2022-04-06,4.81
1556,2022-04-07,5.52
1557,2022-04-08,5.5
1558,2022-04-09,5.5
1559,2022-04-10,5.5
1560,2022-04-11,5.63
1561,2022-04-12,5.75
1562,2022-04-13,6.54
1563,2022-04-14,6.4
1564,2022-04-15,6.4
1565,2022-04-16,6.4
1566,2022-04-17,6.4
1567,2022-04-18,5.74
1568,2022-04-19,5.7
1569,2022-04-20,6.11
1570,2022-04-21,5.13
1571,2022-04-22,4.53
1572,2022-04-23,4.53
1573,2022-04-24,4.53
1574,2022-04-25,4.6
1575,2022-04-26,4.41
1576,2022-04-27,4.3
1577,2022-04-28,4.44
1578,2022-04-29,4.25
1579,2022-04-30,4.25
1580,2022-05-01,4.25
1581,2022-05-02,4.22
1582,2022-05-03,4.57
1583,2022-05-04,4.77
1584,2022-05-05,4.26
1585,2022-05-06,4.13
1586,2022-05-07,4.13
1587,2022-05-08,4.13
1588,2022-05-09,3.48
1589,2022-05-10,3.38
1590,2022-05-11,3.21
1591,2022-05-12,3.08
1592,2022-05-13,3.44
1593,2022-05-14,3.44
1594,2022-05-15,3.44
1595,2022-05-16,3.44
1596,2022-05-17,3.73
1597,2022-05-18,3.36
1598,2022-05-19,3.42
1599,2022-05-20,3.37
1600,2022-05-21,3.37
1601,2022-05-22,3.37
1602,2022-05-23,3.61
1603,2022-05-24,3.38
1604,2022-05-25,3.58
1605,2022-05-26,3.75
1606,2022-05-27,3.88
1607,2022-05-28,3.88
1608,2022-05-29,3.88
1609,2022-05-30,3.88
1610,2022-05-31,3.82
1611,2022-06-01,3.55
1612,2022-06-02,4.19
1613,2022-06-03,3.94
1614,2022-06-04,3.94
1615,2022-06-05,3.94
1616,2022-06-06,3.96
1617,2022-06-07,4.57
1618,2022-06-08,4.47
1619,2022-06-09,4.03
1620,2022-06-10,4.02
1621,2022-06-11,4.02
1622,2022-06-12,4.02
1623,2022-06-13,3.53
1624,2022-06-14,3.25
1625,2022-06-15,3.39
1626,2022-06-16,3.33
1627,2022-06-17,3.33
1628,2022-06-18,3.33
1629,2022-06-19,3.33
1630,2022-06-20,3.33
1631,2022-06-21,3.51
1632,2022-06-22,3.26
1633,2022-06-23,3.28
1634,2022-06-24,3.57
1635,2022-06-25,3.57
1636,2022-06-26,3.57
1637,2022-06-27,3.61
1638,2022-06-28,3.37
1639,2022-06-29,3.18
1640,2022-06-30,3.08
1641,2022-07-01,3.31
1642,2022-07-02,3.31
1643,2022-07-03,3.31
1644,2022-07-04,3.31
